model,benchmark,subtask,score
MoLFormer,CHEMBL1862_Ki,cliff,0.7984705570981495
MoLFormer,CHEMBL1862_Ki,noncliff,0.7843444665591554
MoLFormer,CHEMBL1871_Ki,cliff,0.9608737761352429
MoLFormer,CHEMBL1871_Ki,noncliff,0.6557276926109156
MoLFormer,CHEMBL2034_Ki,cliff,0.954035748284683
MoLFormer,CHEMBL2034_Ki,noncliff,0.6846656706344786
MoLFormer,CHEMBL2047_EC50,cliff,0.6602608698198681
MoLFormer,CHEMBL2047_EC50,noncliff,0.6730580731699273
MoLFormer,CHEMBL204_Ki,cliff,0.9635445259255406
MoLFormer,CHEMBL204_Ki,noncliff,0.7333193085045868
MoLFormer,CHEMBL2147_Ki,cliff,0.8049394788678061
MoLFormer,CHEMBL2147_Ki,noncliff,0.5834717653342752
MoLFormer,CHEMBL214_Ki,cliff,0.8530450672408473
MoLFormer,CHEMBL214_Ki,noncliff,0.6443254943916368
MoLFormer,CHEMBL218_EC50,cliff,0.8330616314843086
MoLFormer,CHEMBL218_EC50,noncliff,0.8073410574708062
MoLFormer,CHEMBL219_Ki,cliff,0.8500257521360028
MoLFormer,CHEMBL219_Ki,noncliff,0.6964749527012042
MoLFormer,CHEMBL228_Ki,cliff,0.8355330677762415
MoLFormer,CHEMBL228_Ki,noncliff,0.7407281029335667
MoLFormer,CHEMBL231_Ki,cliff,0.9000121154251101
MoLFormer,CHEMBL231_Ki,noncliff,0.7310151523750241
MoLFormer,CHEMBL233_Ki,cliff,0.9090825723890955
MoLFormer,CHEMBL233_Ki,noncliff,0.8121772886874592
MoLFormer,CHEMBL234_Ki,cliff,0.7187806817129462
MoLFormer,CHEMBL234_Ki,noncliff,0.7323890924969733
MoLFormer,CHEMBL235_EC50,cliff,0.8156599424158132
MoLFormer,CHEMBL235_EC50,noncliff,0.6156614410986806
MoLFormer,CHEMBL236_Ki,cliff,0.9233917556406113
MoLFormer,CHEMBL236_Ki,noncliff,0.7759585432276691
MoLFormer,CHEMBL237_EC50,cliff,0.8918079465819713
MoLFormer,CHEMBL237_EC50,noncliff,0.796249226869356
MoLFormer,CHEMBL237_Ki,cliff,0.8206750218549946
MoLFormer,CHEMBL237_Ki,noncliff,0.73063343547321
MoLFormer,CHEMBL238_Ki,cliff,0.7118124873480266
MoLFormer,CHEMBL238_Ki,noncliff,0.6789268571791162
MoLFormer,CHEMBL239_EC50,cliff,0.8858684656248702
MoLFormer,CHEMBL239_EC50,noncliff,0.6567153273821543
MoLFormer,CHEMBL244_Ki,cliff,0.9108255436780801
MoLFormer,CHEMBL244_Ki,noncliff,0.7416321378258094
MoLFormer,CHEMBL262_Ki,cliff,1.0004809071572625
MoLFormer,CHEMBL262_Ki,noncliff,0.7284015510630675
MoLFormer,CHEMBL264_Ki,cliff,0.7017428161145338
MoLFormer,CHEMBL264_Ki,noncliff,0.6052685611461469
MoLFormer,CHEMBL2835_Ki,cliff,0.9862444699242116
MoLFormer,CHEMBL2835_Ki,noncliff,0.3687917487309543
MoLFormer,CHEMBL287_Ki,cliff,0.7581784988551343
MoLFormer,CHEMBL287_Ki,noncliff,0.6982602095466345
MoLFormer,CHEMBL2971_Ki,cliff,0.8883574297034751
MoLFormer,CHEMBL2971_Ki,noncliff,0.6708643560974297
MoLFormer,CHEMBL3979_EC50,cliff,0.8285707585647014
MoLFormer,CHEMBL3979_EC50,noncliff,0.6322107908052594
MoLFormer,CHEMBL4005_Ki,cliff,0.8043047800561685
MoLFormer,CHEMBL4005_Ki,noncliff,0.6060619889523083
MoLFormer,CHEMBL4203_Ki,cliff,1.226845157170099
MoLFormer,CHEMBL4203_Ki,noncliff,0.8764222565711325
MoLFormer,CHEMBL4616_EC50,cliff,0.8297923450609678
MoLFormer,CHEMBL4616_EC50,noncliff,0.6803175760407401
MoLFormer,CHEMBL4792_Ki,cliff,0.7047716934150436
MoLFormer,CHEMBL4792_Ki,noncliff,0.6950059043772747
MoLFormer,CHEMBL1862_Ki,cliff,0.8069183549226884
MoLFormer,CHEMBL1862_Ki,noncliff,0.8078434582718896
MoLFormer,CHEMBL1871_Ki,cliff,0.9276694141007142
MoLFormer,CHEMBL1871_Ki,noncliff,0.7070553221837415
MoLFormer,CHEMBL2034_Ki,cliff,0.993861319931382
MoLFormer,CHEMBL2034_Ki,noncliff,0.6082476119668819
MoLFormer,CHEMBL2047_EC50,cliff,0.7000881368390242
MoLFormer,CHEMBL2047_EC50,noncliff,0.5945922256115935
MoLFormer,CHEMBL204_Ki,cliff,0.9333719234145726
MoLFormer,CHEMBL204_Ki,noncliff,0.7070070365082777
MoLFormer,CHEMBL2147_Ki,cliff,0.7465908238808527
MoLFormer,CHEMBL2147_Ki,noncliff,0.5914217461009119
MoLFormer,CHEMBL214_Ki,cliff,0.8467476167369873
MoLFormer,CHEMBL214_Ki,noncliff,0.6452278225239221
MoLFormer,CHEMBL218_EC50,cliff,0.8324460133423932
MoLFormer,CHEMBL218_EC50,noncliff,0.7912660686922056
MoLFormer,CHEMBL219_Ki,cliff,0.8695583324812273
MoLFormer,CHEMBL219_Ki,noncliff,0.7307038111003492
MoLFormer,CHEMBL228_Ki,cliff,0.8628105005047784
MoLFormer,CHEMBL228_Ki,noncliff,0.7570836474607694
MoLFormer,CHEMBL231_Ki,cliff,0.8916015451335846
MoLFormer,CHEMBL231_Ki,noncliff,0.7633817756698075
MoLFormer,CHEMBL233_Ki,cliff,0.9345362269366789
MoLFormer,CHEMBL233_Ki,noncliff,0.7335659307312782
MoLFormer,CHEMBL234_Ki,cliff,0.712415388013979
MoLFormer,CHEMBL234_Ki,noncliff,0.7171560769223427
MoLFormer,CHEMBL235_EC50,cliff,0.8263443879153064
MoLFormer,CHEMBL235_EC50,noncliff,0.6275170482257832
MoLFormer,CHEMBL236_Ki,cliff,0.8682407651398412
MoLFormer,CHEMBL236_Ki,noncliff,0.7651593042115581
MoLFormer,CHEMBL237_EC50,cliff,0.8684528518492477
MoLFormer,CHEMBL237_EC50,noncliff,0.7617113178877073
MoLFormer,CHEMBL237_Ki,cliff,0.8253387652610311
MoLFormer,CHEMBL237_Ki,noncliff,0.703946620497475
MoLFormer,CHEMBL238_Ki,cliff,0.760842904407683
MoLFormer,CHEMBL238_Ki,noncliff,0.7025099142922717
MoLFormer,CHEMBL239_EC50,cliff,0.8552733712577273
MoLFormer,CHEMBL239_EC50,noncliff,0.6402660104862895
MoLFormer,CHEMBL244_Ki,cliff,0.8709501057558845
MoLFormer,CHEMBL244_Ki,noncliff,0.7723803074856084
MoLFormer,CHEMBL262_Ki,cliff,0.9360215084583644
MoLFormer,CHEMBL262_Ki,noncliff,0.725869348678218
MoLFormer,CHEMBL264_Ki,cliff,0.6966008666352201
MoLFormer,CHEMBL264_Ki,noncliff,0.6037717731594068
MoLFormer,CHEMBL2835_Ki,cliff,0.8372809631705116
MoLFormer,CHEMBL2835_Ki,noncliff,0.37852431180567764
MoLFormer,CHEMBL287_Ki,cliff,0.7806632262366219
MoLFormer,CHEMBL287_Ki,noncliff,0.7558758457584767
MoLFormer,CHEMBL2971_Ki,cliff,0.9013640591647633
MoLFormer,CHEMBL2971_Ki,noncliff,0.6539260026593217
MoLFormer,CHEMBL3979_EC50,cliff,0.7875944779546853
MoLFormer,CHEMBL3979_EC50,noncliff,0.6123973503633839
MoLFormer,CHEMBL4005_Ki,cliff,0.8058340851805095
MoLFormer,CHEMBL4005_Ki,noncliff,0.5889426013937983
MoLFormer,CHEMBL4203_Ki,cliff,1.2721428541665922
MoLFormer,CHEMBL4203_Ki,noncliff,0.9137450609919043
MoLFormer,CHEMBL4616_EC50,cliff,0.8033543140025685
MoLFormer,CHEMBL4616_EC50,noncliff,0.6339591447317126
MoLFormer,CHEMBL4792_Ki,cliff,0.7271906588561574
MoLFormer,CHEMBL4792_Ki,noncliff,0.6449669686479887
MoLFormer,CHEMBL1862_Ki,cliff,0.8256527808213723
MoLFormer,CHEMBL1862_Ki,noncliff,0.8077558655312989
MoLFormer,CHEMBL1871_Ki,cliff,0.8681710027637265
MoLFormer,CHEMBL1871_Ki,noncliff,0.689642886104068
MoLFormer,CHEMBL2034_Ki,cliff,0.9464687640503695
MoLFormer,CHEMBL2034_Ki,noncliff,0.6300178759800183
MoLFormer,CHEMBL2047_EC50,cliff,0.6850600412136205
MoLFormer,CHEMBL2047_EC50,noncliff,0.6223536830574696
MoLFormer,CHEMBL204_Ki,cliff,0.9839641230597447
MoLFormer,CHEMBL204_Ki,noncliff,0.7337236334671652
MoLFormer,CHEMBL2147_Ki,cliff,0.7552543002280938
MoLFormer,CHEMBL2147_Ki,noncliff,0.6040393077419904
MoLFormer,CHEMBL214_Ki,cliff,0.8238792729221716
MoLFormer,CHEMBL214_Ki,noncliff,0.6481956483328074
MoLFormer,CHEMBL218_EC50,cliff,0.8539134076036627
MoLFormer,CHEMBL218_EC50,noncliff,0.8155823891229339
MoLFormer,CHEMBL219_Ki,cliff,0.8693817723861333
MoLFormer,CHEMBL219_Ki,noncliff,0.7421929702374357
MoLFormer,CHEMBL228_Ki,cliff,0.8620192983060677
MoLFormer,CHEMBL228_Ki,noncliff,0.718789986129109
MoLFormer,CHEMBL231_Ki,cliff,0.9265715920061836
MoLFormer,CHEMBL231_Ki,noncliff,0.7640623796139667
MoLFormer,CHEMBL233_Ki,cliff,0.9089210654792286
MoLFormer,CHEMBL233_Ki,noncliff,0.7686681975438869
MoLFormer,CHEMBL234_Ki,cliff,0.7271199138062947
MoLFormer,CHEMBL234_Ki,noncliff,0.7363667561944085
MoLFormer,CHEMBL235_EC50,cliff,0.8068557274315658
MoLFormer,CHEMBL235_EC50,noncliff,0.5964500544454784
MoLFormer,CHEMBL236_Ki,cliff,0.9160469206623172
MoLFormer,CHEMBL236_Ki,noncliff,0.7881466480589526
MoLFormer,CHEMBL237_EC50,cliff,0.8503482942128464
MoLFormer,CHEMBL237_EC50,noncliff,0.7230099987852402
MoLFormer,CHEMBL237_Ki,cliff,0.8489778962090779
MoLFormer,CHEMBL237_Ki,noncliff,0.744131225094577
MoLFormer,CHEMBL238_Ki,cliff,0.7516799668802057
MoLFormer,CHEMBL238_Ki,noncliff,0.6961802249672092
MoLFormer,CHEMBL239_EC50,cliff,0.8917682470289932
MoLFormer,CHEMBL239_EC50,noncliff,0.6675988174682779
MoLFormer,CHEMBL244_Ki,cliff,0.9289349913952071
MoLFormer,CHEMBL244_Ki,noncliff,0.7289682244436158
MoLFormer,CHEMBL262_Ki,cliff,0.8960040014062653
MoLFormer,CHEMBL262_Ki,noncliff,0.7308938936757283
MoLFormer,CHEMBL264_Ki,cliff,0.7086200622226847
MoLFormer,CHEMBL264_Ki,noncliff,0.6175393351663448
MoLFormer,CHEMBL2835_Ki,cliff,0.8789665020028646
MoLFormer,CHEMBL2835_Ki,noncliff,0.39543309252464265
MoLFormer,CHEMBL287_Ki,cliff,0.7447784248636875
MoLFormer,CHEMBL287_Ki,noncliff,0.7160764303554865
MoLFormer,CHEMBL2971_Ki,cliff,0.8479880800375619
MoLFormer,CHEMBL2971_Ki,noncliff,0.6176249361648071
MoLFormer,CHEMBL3979_EC50,cliff,0.8261848922992733
MoLFormer,CHEMBL3979_EC50,noncliff,0.6180354713354533
MoLFormer,CHEMBL4005_Ki,cliff,0.8211944393695085
MoLFormer,CHEMBL4005_Ki,noncliff,0.631005243281855
MoLFormer,CHEMBL4203_Ki,cliff,1.3172419769852313
MoLFormer,CHEMBL4203_Ki,noncliff,0.9036715155603774
MoLFormer,CHEMBL4616_EC50,cliff,0.7956740654416369
MoLFormer,CHEMBL4616_EC50,noncliff,0.661573397757029
MoLFormer,CHEMBL4792_Ki,cliff,0.7341041303128057
MoLFormer,CHEMBL4792_Ki,noncliff,0.6625489779619322
MoLFormer,CHEMBL1862_Ki,cliff,0.8277703308345594
MoLFormer,CHEMBL1862_Ki,noncliff,0.7876383989542537
MoLFormer,CHEMBL1871_Ki,cliff,0.8895933993594413
MoLFormer,CHEMBL1871_Ki,noncliff,0.6381541209438496
MoLFormer,CHEMBL2034_Ki,cliff,0.9761900653304713
MoLFormer,CHEMBL2034_Ki,noncliff,0.6083261073472422
MoLFormer,CHEMBL2047_EC50,cliff,0.6830093135726157
MoLFormer,CHEMBL2047_EC50,noncliff,0.6808981730056902
MoLFormer,CHEMBL204_Ki,cliff,0.9653510344399037
MoLFormer,CHEMBL204_Ki,noncliff,0.7088836172115702
MoLFormer,CHEMBL2147_Ki,cliff,0.754635279621184
MoLFormer,CHEMBL2147_Ki,noncliff,0.6043977016276533
MoLFormer,CHEMBL214_Ki,cliff,0.8548925133718439
MoLFormer,CHEMBL214_Ki,noncliff,0.6344053323305436
MoLFormer,CHEMBL218_EC50,cliff,0.8445385190924424
MoLFormer,CHEMBL218_EC50,noncliff,0.7622753322033492
MoLFormer,CHEMBL219_Ki,cliff,0.87111310460855
MoLFormer,CHEMBL219_Ki,noncliff,0.7439777859157682
MoLFormer,CHEMBL228_Ki,cliff,0.8167215781316313
MoLFormer,CHEMBL228_Ki,noncliff,0.6933126690093505
MoLFormer,CHEMBL231_Ki,cliff,0.9015871022640135
MoLFormer,CHEMBL231_Ki,noncliff,0.746904739974809
MoLFormer,CHEMBL233_Ki,cliff,0.9366382579810255
MoLFormer,CHEMBL233_Ki,noncliff,0.7530967217121376
MoLFormer,CHEMBL234_Ki,cliff,0.7327427096735396
MoLFormer,CHEMBL234_Ki,noncliff,0.725686714769304
MoLFormer,CHEMBL235_EC50,cliff,0.8341302918522329
MoLFormer,CHEMBL235_EC50,noncliff,0.6268743447392436
MoLFormer,CHEMBL236_Ki,cliff,0.8797800677870434
MoLFormer,CHEMBL236_Ki,noncliff,0.7625457410564038
MoLFormer,CHEMBL237_EC50,cliff,0.8406232352395789
MoLFormer,CHEMBL237_EC50,noncliff,0.7079085740879483
MoLFormer,CHEMBL237_Ki,cliff,0.8420829435578314
MoLFormer,CHEMBL237_Ki,noncliff,0.7277198688747762
MoLFormer,CHEMBL238_Ki,cliff,0.7186382736099711
MoLFormer,CHEMBL238_Ki,noncliff,0.7299863042995572
MoLFormer,CHEMBL239_EC50,cliff,0.9564151950254344
MoLFormer,CHEMBL239_EC50,noncliff,0.6736275468151544
MoLFormer,CHEMBL244_Ki,cliff,0.9208783307767826
MoLFormer,CHEMBL244_Ki,noncliff,0.7074372943772266
MoLFormer,CHEMBL262_Ki,cliff,0.9076348529056537
MoLFormer,CHEMBL262_Ki,noncliff,0.7423592447026071
MoLFormer,CHEMBL264_Ki,cliff,0.6793326141215524
MoLFormer,CHEMBL264_Ki,noncliff,0.5976368763346503
MoLFormer,CHEMBL2835_Ki,cliff,0.8796947888924409
MoLFormer,CHEMBL2835_Ki,noncliff,0.37688790066319533
MoLFormer,CHEMBL287_Ki,cliff,0.7215962578177442
MoLFormer,CHEMBL287_Ki,noncliff,0.7194401202371751
MoLFormer,CHEMBL2971_Ki,cliff,0.9130346103158826
MoLFormer,CHEMBL2971_Ki,noncliff,0.6127006142434239
MoLFormer,CHEMBL3979_EC50,cliff,0.8376365396301063
MoLFormer,CHEMBL3979_EC50,noncliff,0.6218263794544256
MoLFormer,CHEMBL4005_Ki,cliff,0.7897682086705126
MoLFormer,CHEMBL4005_Ki,noncliff,0.6005705251862846
MoLFormer,CHEMBL4203_Ki,cliff,1.2400979643056094
MoLFormer,CHEMBL4203_Ki,noncliff,0.8600770147489417
MoLFormer,CHEMBL4616_EC50,cliff,0.9113868134216098
MoLFormer,CHEMBL4616_EC50,noncliff,0.6770978986618286
MoLFormer,CHEMBL4792_Ki,cliff,0.7132870712235673
MoLFormer,CHEMBL4792_Ki,noncliff,0.6940626670737639
MoLFormer,CHEMBL1862_Ki,cliff,0.7741711744874255
MoLFormer,CHEMBL1862_Ki,noncliff,0.7922134685886276
MoLFormer,CHEMBL1871_Ki,cliff,0.8898067838122145
MoLFormer,CHEMBL1871_Ki,noncliff,0.6958097442347756
MoLFormer,CHEMBL2034_Ki,cliff,0.9237043461447112
MoLFormer,CHEMBL2034_Ki,noncliff,0.6458756633798415
MoLFormer,CHEMBL2047_EC50,cliff,0.6906082928282197
MoLFormer,CHEMBL2047_EC50,noncliff,0.5905325740158169
MoLFormer,CHEMBL204_Ki,cliff,0.950461524312354
MoLFormer,CHEMBL204_Ki,noncliff,0.7044725722518782
MoLFormer,CHEMBL2147_Ki,cliff,0.7598867440890652
MoLFormer,CHEMBL2147_Ki,noncliff,0.6031608254486277
MoLFormer,CHEMBL214_Ki,cliff,0.8482251283090645
MoLFormer,CHEMBL214_Ki,noncliff,0.6503396050351867
MoLFormer,CHEMBL218_EC50,cliff,0.8683778299196844
MoLFormer,CHEMBL218_EC50,noncliff,0.7817414698524794
